,Besancenot,Buffet,Schivardi,Bayrou,Bové,Voynet,de Villiers,Royal,Nihous,Le Pen,Laguiller,Sarkozy
60396,2,0,0,0,0,0,0,0,0,0,0,0
60569,0,0,0,5,0,0,0,0,0,0,0,0
60297,0,0,0,0,0,0,0,6,0,0,0,0
60383,0,0,0,0,0,0,0,6,0,0,0,0
60415,5,5,0,0,0,0,0,6,0,0,0,0
60139,2,3,2,5,1,3,2,5,4,2,0,0
60482,1,1,0,0,0,0,1,0,0,1,1,0
60516,3,1,1,4,1,1,1,2,1,1,1,0
60475,3,3,2,6,5,4,1,4,3,1,3,0
60283,3,4,3,6,2,4,0,4,0,0,6,0
60080,3,0,0,0,2,1,0,4,0,1,0,1
60298,4,6,2,2,2,2,1,5,1,1,0,1
60324,5,5,2,2,1,2,1,2,1,4,0,1
60294,3,2,0,2,2,6,0,6,0,1,1,1
60090,1,1,1,1,1,1,1,1,1,1,1,1
60357,1,1,1,1,1,1,1,1,1,1,1,1
60495,1,1,1,1,1,1,1,1,1,1,1,1
60015,4,6,3,2,3,1,1,1,1,1,1,1
60149,4,4,3,2,4,1,1,1,1,1,1,1
60342,4,4,1,4,3,4,1,1,1,1,1,1
60299,1,2,3,4,4,2,1,2,1,1,1,1
60522,4,5,1,2,4,2,1,3,1,1,1,1
60066,2,1,1,2,2,3,1,3,1,1,1,1
60054,2,1,1,6,3,4,1,3,1,1,1,1
60033,1,1,1,6,1,1,1,4,1,1,1,1
60246,5,4,1,5,2,1,1,4,1,1,1,1
60095,5,2,1,5,1,2,1,4,1,1,1,1
60265,3,1,1,5,2,2,1,4,1,1,1,1
60431,1,1,1,5,1,3,1,4,1,1,1,1
60137,1,1,2,3,2,3,1,4,1,1,1,1
60583,1,1,1,6,3,4,1,4,1,1,1,1
60005,6,5,3,2,1,1,1,5,1,1,1,1
60398,1,1,1,3,1,2,1,5,1,1,1,1
60210,1,2,1,5,2,2,1,5,1,1,1,1
60326,2,6,1,3,2,4,1,5,1,1,1,1
60110,1,1,1,6,1,5,1,5,1,1,1,1
60222,1,1,1,6,1,5,1,5,1,1,1,1
60104,1,1,1,1,1,1,1,6,1,1,1,1
60437,1,1,1,3,1,1,1,6,1,1,1,1
60078,4,1,1,5,1,1,1,6,1,1,1,1
60387,1,1,1,5,2,1,1,6,1,1,1,1
60195,3,5,2,4,2,3,1,6,1,1,1,1
60086,5,3,1,3,3,3,1,6,1,1,1,1
60452,3,2,1,1,1,4,1,6,1,1,1,1
60224,4,6,3,3,3,6,1,6,1,1,1,1
60166,2,2,1,4,1,2,2,6,1,1,1,1
60582,2,2,1,5,2,2,1,1,2,1,1,1
60587,3,3,3,5,2,2,2,3,2,1,1,1
60565,2,2,1,5,2,3,1,5,2,1,1,1
60485,3,2,3,3,1,2,3,5,2,1,1,1
60094,4,4,3,4,5,2,1,6,2,1,1,1
60092,3,3,2,6,2,5,1,6,2,1,1,1
60447,4,2,1,3,4,4,1,6,3,1,1,1
60593,2,2,2,4,1,3,0,6,4,1,1,1
60032,1,3,1,4,2,3,1,6,4,1,1,1
60519,5,3,2,6,1,1,1,2,6,1,1,1
60316,1,1,1,1,1,1,1,1,1,6,1,1
60595,4,5,0,3,5,3,1,0,0,1,2,1
60483,2,5,2,3,2,4,1,6,0,1,2,1
60067,3,1,5,3,2,2,1,1,1,1,2,1
60089,4,6,1,1,4,3,1,3,1,1,2,1
60018,4,3,2,2,2,4,1,3,1,1,2,1
60312,2,2,1,2,2,3,1,4,1,1,2,1
60307,2,2,1,4,2,3,1,4,1,1,2,1
60362,3,2,1,4,2,3,1,4,1,1,2,1
60056,3,2,1,4,2,4,1,4,1,1,2,1
60145,2,2,2,3,3,4,1,4,1,1,2,1
60351,5,5,2,2,3,6,1,4,1,1,2,1
60497,1,2,1,4,1,1,1,5,1,1,2,1
60163,2,3,1,4,1,2,1,5,1,1,2,1
60230,2,3,2,4,2,2,1,5,1,1,2,1
60320,2,4,1,4,2,4,1,5,1,1,2,1
60337,3,4,1,5,2,4,1,5,1,1,2,1
60518,6,4,3,1,6,5,1,5,1,1,2,1
60285,2,2,4,4,2,6,1,5,1,1,2,1
60432,2,2,1,5,2,1,1,6,1,1,2,1
60411,2,3,1,2,2,2,1,6,1,1,2,1
60509,2,2,2,3,2,2,1,6,1,1,2,1
60466,2,3,1,4,2,3,1,6,1,1,2,1
60272,5,4,2,1,5,3,1,6,1,1,2,1
60249,2,2,1,5,3,4,1,6,1,1,2,1
60517,2,3,1,5,2,5,2,6,1,1,2,1
60271,2,2,2,2,2,2,1,2,2,1,2,1
60053,2,2,2,5,3,2,1,4,2,1,2,1
60031,2,3,2,6,2,3,1,4,2,1,2,1
60206,3,2,2,6,3,3,1,4,2,1,2,1
60081,2,2,1,4,1,2,1,5,2,1,2,1
60221,2,2,1,6,2,2,1,5,2,1,2,1
60128,3,4,2,5,4,3,1,5,2,1,2,1
60480,6,4,2,4,5,3,1,5,2,1,2,1
60021,2,3,2,4,2,4,1,5,2,1,2,1
60580,4,4,2,3,4,4,1,5,2,1,2,1
60579,2,3,0,5,1,5,1,5,2,1,2,1
60588,4,4,2,4,2,5,1,5,2,1,2,1
60343,3,2,2,4,5,6,0,6,2,1,2,1
60035,6,6,2,2,2,2,1,6,2,1,2,1
60350,2,2,1,2,1,3,1,6,2,1,2,1
60041,3,3,3,2,3,3,1,6,2,1,2,1
60330,2,2,2,3,3,3,1,6,2,1,2,1
60395,3,5,2,3,4,5,1,6,2,1,2,1
60508,3,3,2,5,3,4,2,6,2,1,2,1
60300,6,3,2,6,4,5,3,6,2,1,2,1
60331,2,2,2,4,1,3,2,2,3,1,2,1
60072,4,5,3,6,4,5,2,4,3,1,2,1
60040,5,4,1,5,1,1,1,5,3,1,2,1
60538,3,4,1,2,3,2,1,5,4,1,2,1
60267,1,5,3,4,2,3,4,3,2,5,2,1
60250,2,3,1,1,6,2,1,1,1,1,3,1
60400,4,4,2,5,4,1,1,2,1,1,3,1
60085,6,5,3,2,0,4,1,2,1,1,3,1
60532,3,3,2,4,4,4,1,2,1,1,3,1
60505,5,2,2,1,4,6,1,2,1,1,3,1
60125,5,3,1,5,5,6,1,2,1,1,3,1
60022,5,5,1,1,2,3,1,3,1,1,3,1
60099,3,4,1,6,3,3,1,4,1,1,3,1
60234,3,3,2,4,3,4,1,4,1,1,3,1
60063,4,4,2,2,4,5,1,4,1,1,3,1
60469,3,4,3,4,3,3,1,5,1,1,3,1
60586,4,4,1,5,3,5,1,5,1,1,3,1
60270,3,6,1,3,1,6,1,5,1,1,3,1
60147,4,5,2,4,2,3,2,5,1,1,3,1
60020,4,3,2,5,4,6,2,5,1,1,3,1
60478,3,3,3,3,2,1,1,6,1,1,3,1
60134,4,3,1,3,3,3,1,6,1,1,3,1
